Month,MonthNum,TotalAccidents,AvgAccidents,StdAccidents
January,1,136767,1470.6129032258063,6026.52642405488
February,2,125228,1346.5376344086021,5497.1626743873
March,3,128406,1380.7096774193549,5635.503454575798
April,4,123942,1332.7096774193549,5450.843458028037
May,5,137279,1476.1182795698924,6056.283675097227
June,6,128881,1385.8172043010752,5653.716997704747
July,7,121498,1306.4301075268818,5299.922877613306
August,8,123803,1331.215053763441,5394.399035411562
September,9,122171,1313.6666666666667,5315.105723790683
October,10,126977,1365.3440860215053,5531.482391324707
November,11,126408,1359.225806451613,5535.521757995341
December,12,130547,1403.731182795699,5730.945875985358
